"1","A. Lacazette","Alexandre Lacazette","ARS","Arsenal","Arsenal","1","13.03.2020"
"2","B. Leno","Bernd Leno","ARS","Arsenal","Arsenal","2","13.03.2020"
"3","B. Saka","Bukayo Saka","ARS","Arsenal","Arsenal","3","13.03.2020"
"4","D. Ceballos","Dani Ceballos","ARS","Arsenal","Arsenal","4","13.03.2020"
"5","D. Luiz","David Luiz","ARS","Arsenal","Arsenal","5","13.03.2020"
"6","E. Nketiah","Edward Nketiah","ARS","Arsenal","Arsenal","6","13.03.2020"
"7","G. Xhaka","Granit Xhaka","ARS","Arsenal","Arsenal","7","13.03.2020"
"8","L. Torreira","Lucas Torreira","ARS","Arsenal","Arsenal","8","13.03.2020"
"9","P. Aubameyang","Pierre-Emerick Aubameyang","ARS","Arsenal","Arsenal","9","13.03.2020"
"10","S. Mustafi","Shkodran Mustafi","ARS","Arsenal","Arsenal","10","13.03.2020"
"11","S. Papastathopoulos","Sokratis Papastathopoulos","ARS","Arsenal","Arsenal","11","13.03.2020"
"12","H. Bellerín","Hector Bellerin","ARS","Arsenal","Arsenal","12","13.03.2020"
"13","M. Özil","Mesut Ozil","ARS","Arsenal","Arsenal","13","13.03.2020"
"14","N. Pépé","Nicolas Pepe","ARS","Arsenal","Arsenal","14","13.03.2020"
"15","A. El Ghazi","Anwar El Ghazi","AVL","Aston Villa","Aston Villa","15","13.03.2020"
"16","B. Engels","Bjorn Engels","AVL","Aston Villa","Aston Villa","16","13.03.2020"
"17","C. Hourihane","Conor Hourihane","AVL","Aston Villa","Aston Villa","17","13.03.2020"
"18","F. Guilbert","Frederic Guilbert","AVL","Aston Villa","Aston Villa","18","13.03.2020"
"19","J. Grealish","Jack Grealish","AVL","Aston Villa","Aston Villa","19","13.03.2020"
"20","K. Hause","Kortney Hause","AVL","Aston Villa","Aston Villa","20","13.03.2020"
"21","M. Nakamba","Marvelous Nakamba","AVL","Aston Villa","Aston Villa","21","13.03.2020"
"22","M. Samatta","Mbwana Samatta","AVL","Aston Villa","Aston Villa","22","13.03.2020"
"23","M. Targett","Matt Targett","AVL","Aston Villa","Aston Villa","23","13.03.2020"
"24","P. Reina","Pepe Reina","AVL","Aston Villa","Aston Villa","24","13.03.2020"
"25","T. Mings","Tyrone Mings","AVL","Aston Villa","Aston Villa","25","13.03.2020"
"26","Trezeguet","Trezeguet","AVL","Aston Villa","Aston Villa","26","13.03.2020"
"27","E. Konsa Ngoyo","Ezri Konsa","AVL","Aston Villa","Aston Villa","27","13.03.2020"
"28","A. Ramsdale","Aaron Ramsdale","BOU","Bournemouth","Bournemouth","28","13.03.2020"
"29","A. Smith","Adam Smith","BOU","Bournemouth","Bournemouth","29","13.03.2020"
"30","A. Surman","Andrew Surman","BOU","Bournemouth","Bournemouth","30","13.03.2020"
"31","C. Wilson","Callum Wilson","BOU","Bournemouth","Bournemouth","31","13.03.2020"
"32","D. Gosling","Dan Gosling","BOU","Bournemouth","Bournemouth","32","13.03.2020"
"33","D. Rico","Diego Rico","BOU","Bournemouth","Bournemouth","33","13.03.2020"
"34","D. Solanke","Dominic Solanke","BOU","Bournemouth","Bournemouth","34","13.03.2020"
"35","H. Wilson","Harry Wilson","BOU","Bournemouth","Bournemouth","35","13.03.2020"
"36","J. King","Joshua King","BOU","Bournemouth","Bournemouth","36","13.03.2020"
