,DB_id,SpielerID,Name,Position,Team,Preis,Gegner,Proj,CS,Turnier_ID,db_ID1,Datum
0,2,273,Sergio Aguero,FOR,MCI,11.8,ARS,10.76,0.39,255862,2,06.03.2020
1,3,65,Danny Ings,FOR,SOU,11.2,NEW,10.06,0.38,255862,2,06.03.2020
2,4,148,Kelechi Iheanacho,FOR,LEI,10.5,AVL,11.02,0.41,255862,2,06.03.2020
3,5,203,Pierre-Emerick Aubameyang,FOR,ARS,13.2,MCI,5.59,0.08,255862,2,06.03.2020
4,6,67,Diogo Jota,FOR,WLV,10.4,BHA,10.04,0.43,255862,2,06.03.2020
5,7,78,Edward Nketiah,FOR,ARS,8.4,MCI,4.99,0.08,255862,2,06.03.2020
6,8,229,Steven Bergwijn,MID,TOT,8.8,BUR,8.92,0.3,255862,2,06.03.2020
7,9,197,Oliver McBurnie,FOR,SHU,11.2,NOR,8.72,0.41,255862,2,06.03.2020
8,10,40,Billy Sharp,FOR,SHU,9.0,NOR,8.31,0.41,255862,2,06.03.2020
9,11,195,Olivier Giroud,FOR,CHE,8.5,EVE,8.22,0.32,255862,2,06.03.2020
10,12,237,Shane Long,FOR,SOU,10.5,NEW,8.5,0.38,255862,2,06.03.2020
11,13,223,Raheem Sterling,MID,MCI,12.3,MUN,8.52,0.34,255862,2,06.03.2020
12,14,161,Lucas Moura,MID,TOT,9.0,BUR,7.93,0.3,255862,2,06.03.2020
13,15,59,Dominic Calvert-Lewin,FOR,EVE,6.8,CHE,7.09,0.16,255862,2,06.03.2020
14,16,56,Chris Wood,FOR,BUR,7.2,TOT,7.42,0.27,255862,2,06.03.2020
15,17,247,Troy Deeney,FOR,WAT,7.4,CRY,7.46,0.29,255862,2,06.03.2020
16,18,270,Raul Jimenez,FOR,WLV,10.8,BHA,8.37,0.43,255862,2,06.03.2020
17,19,224,Richarlison,MID,EVE,6.9,CHE,6.86,0.16,255862,2,06.03.2020
18,20,107,Jordan Ayew,FOR,CRY,8.2,WAT,7.19,0.31,255862,2,06.03.2020
19,21,298,Jay Rodriguez,FOR,BUR,6.8,TOT,7.01,0.27,255862,2,06.03.2020
20,22,217,Riyad Mahrez,MID,MCI,12.2,MUN,7.7,0.34,255862,2,06.03.2020
21,23,41,Bernardo Silva,MID,MCI,10.8,MUN,6.84,0.34,255862,2,06.03.2020
22,24,277,Todd Cantwell,MID,NOR,5.5,SHU,6.06,0.17,255862,2,06.03.2020
23,25,308,Nicolas Pepe,MID,ARS,12.2,MCI,4.86,0.08,255862,2,06.03.2020
24,26,281,Ayoze Perez,MID,LEI,12.8,AVL,7.31,0.41,255862,2,06.03.2020
25,27,183,Mbwana Samatta,FOR,AVL,5.3,LEI,5.78,0.1,255862,2,06.03.2020
27,29,123,James Maddison,MID,LEI,13.3,AVL,7.03,0.41,255862,2,06.03.2020
28,30,236,Sebastien Haller,FOR,WHU,6.2,ARS,5.73,0.12,255862,2,06.03.2020
29,31,47,Christian Benteke,FOR,CRY,7.2,WAT,6.33,0.31,255862,2,06.03.2020
30,32,106,Ismaila Sarr,MID,WAT,6.8,CRY,6.59,0.29,255862,2,06.03.2020
31,33,113,John Fleck,MID,SHU,11.4,NOR,6.72,0.41,255862,2,06.03.2020
32,34,116,Jack Grealish,MID,AVL,5.6,LEI,5.72,0.1,255862,2,06.03.2020
35,37,166,Michail Antonio,MID,WHU,5.2,ARS,5.57,0.12,255862,2,06.03.2020
36,38,109,Jarrod Bowen,MID,WHU,5.4,ARS,5.5,0.12,255862,2,06.03.2020
37,39,146,Kevin De Bruyne,MID,MCI,12.5,MUN,6.37,0.34,255862,2,06.03.2020
38,40,71,Dennis Praet,MID,LEI,10.8,AVL,6.7,0.41,255862,2,06.03.2020
39,41,97,Harvey Barnes,MID,LEI,12.5,AVL,6.99,0.41,255862,2,06.03.2020
41,43,266,Abdoulaye Doucoure,MID,WAT,7.2,CRY,6.03,0.29,255862,2,06.03.2020
42,44,57,Dele Alli,MID,TOT,8.3,BUR,6.62,0.3,255862,2,06.03.2020
43,45,221,Roberto Pereyra,MID,WAT,6.9,CRY,5.76,0.29,255862,2,06.03.2020
44,46,296,Ilkay Gundogan,MID,MCI,8.9,ARS,6.26,0.39,255862,2,06.03.2020
45,47,98,Hamza Choudhury,MID,LEI,8.9,AVL,6.41,0.41,255862,2,06.03.2020
46,48,164,Leandro Trossard,MID,BHA,5.4,WLV,5.48,0.17,255862,2,06.03.2020
47,49,230,Sofiane Boufal,MID,SOU,9.3,NEW,6.01,0.38,255862,2,06.03.2020
48,50,176,Mason Mount,MID,CHE,11.3,EVE,5.78,0.32,255862,2,06.03.2020
49,51,252,Trezeguet,MID,AVL,5.0,LEI,4.95,0.1,255862,2,06.03.2020
50,52,160,Luka Milivojevic,MID,CRY,7.6,WAT,5.27,0.31,255862,2,06.03.2020
51,53,207,Pedro Neto,MID,WLV,8.3,BHA,6.47,0.43,255862,2,06.03.2020
52,54,199,Oliver Norwood,MID,SHU,10.8,NOR,5.66,0.41,255862,2,06.03.2020
53,55,27,Ashley Westwood,MID,BUR,6.6,TOT,5.35,0.27,255862,2,06.03.2020
54,56,60,Dani Ceballos,MID,ARS,10.6,WHU,5.91,0.36,255862,2,06.03.2020
56,58,305,Mesut Ozil,MID,ARS,11.8,MCI,4.53,0.08,255862,2,06.03.2020
57,59,238,Solomon March,MID,BHA,4.9,WLV,4.7,0.17,255862,2,06.03.2020
59,61,174,Mateo Kovacic,MID,CHE,8.6,EVE,5.21,0.32,255862,2,06.03.2020
60,62,144,James Ward-Prowse,MID,SOU,11.0,NEW,5.52,0.38,255862,2,06.03.2020
61,63,209,Pedro,MID,CHE,9.2,EVE,5.48,0.32,255862,2,06.03.2020
62,64,218,Ruben Neves,MID,WLV,9.6,BHA,5.81,0.43,255862,2,06.03.2020
63,65,210,Ross Barkley,MID,CHE,7.8,EVE,5.32,0.32,255862,2,06.03.2020
64,66,168,Moussa Djenepo,MID,SOU,9.2,NEW,5.47,0.38,255862,2,06.03.2020
67,69,260,Wilfried Zaha,FOR,CRY,8.3,WAT,5.09,0.31,255862,2,06.03.2020
68,70,110,Jack Cork,MID,BUR,5.3,TOT,4.88,0.27,255862,2,06.03.2020
69,71,126,James McArthur,MID,CRY,7.8,WAT,5.05,0.31,255862,2,06.03.2020
70,72,178,Mark Noble,MID,WHU,5.5,ARS,4.18,0.12,255862,2,06.03.2020
71,73,228,Sander Berge,MID,SHU,8.2,NOR,5.42,0.41,255862,2,06.03.2020
72,74,104,Isaac Hayden,MID,NEW,5.6,SOU,4.24,0.15,255862,2,06.03.2020
74,76,69,Dwight McNeil,MID,BUR,6.9,TOT,4.97,0.27,255862,2,06.03.2020
75,77,4,Andre Gomes,MID,EVE,5.4,CHE,3.99,0.16,255862,2,06.03.2020
76,78,239,Scott McTominay,MID,MUN,5.0,MCI,4.26,0.14,255862,2,06.03.2020
78,80,188,Nabil Bentaleb,MID,NEW,4.2,SOU,4.02,0.15,255862,2,06.03.2020
81,83,129,Joao Moutinho,MID,WLV,9.9,BHA,5.76,0.43,255862,2,06.03.2020
82,84,246,Tom Davies,MID,EVE,5.0,CHE,4.37,0.16,255862,2,06.03.2020
83,85,15,Aaron Mooy,MID,BHA,5.5,WLV,4.44,0.17,255862,2,06.03.2020
84,86,251,Theo Walcott,MID,EVE,6.3,CHE,4.29,0.16,255862,2,06.03.2020
87,89,117,Jeff Hendrick,MID,BUR,6.3,TOT,4.47,0.27,255862,2,06.03.2020
