,DB_id,SpielerID,Name,Position,Team,Preis,Gegner,Proj,CS,Turnier_ID,db_ID1,Datum
26,28,165,Marcos Alonso,DEF,CHE,7.4,EVE,6.16,0.32,255862,2,06.03.2020
33,35,45,Cesar Azpilicueta,DEF,CHE,9.0,EVE,6.45,0.32,255862,2,06.03.2020
34,36,169,Matt Doherty,DEF,WLV,8.6,BHA,7.21,0.43,255862,2,06.03.2020
40,42,216,Reece James,DEF,CHE,7.8,EVE,6.33,0.32,255862,2,06.03.2020
55,57,88,George Baldock,DEF,SHU,9.2,NOR,5.9,0.41,255862,2,06.03.2020
58,60,220,Ricardo Pereira,DEF,LEI,10.9,AVL,5.79,0.41,255862,2,06.03.2020
65,67,212,Ryan Bertrand,DEF,SOU,8.2,NEW,5.33,0.38,255862,2,06.03.2020
66,68,80,Enda Stevens,DEF,SHU,8.8,NOR,5.54,0.41,255862,2,06.03.2020
73,75,202,Patrick van Aanholt,DEF,CRY,6.6,WAT,5.0,0.31,255862,2,06.03.2020
77,79,68,David Luiz,DEF,ARS,9.8,MCI,3.17,0.08,255862,2,06.03.2020
79,81,26,Adam Webster,DEF,BHA,4.2,WLV,4.22,0.17,255862,2,06.03.2020
80,82,192,Nicolas Otamendi,DEF,MCI,9.4,MUN,4.29,0.34,255862,2,06.03.2020
85,87,29,Ben Chilwell,DEF,LEI,10.3,AVL,5.35,0.41,255862,2,06.03.2020
86,88,293,Federico Fernandez,DEF,NEW,4.3,SOU,4.04,0.15,255862,2,06.03.2020
88,90,158,Lewis Dunk,DEF,BHA,4.6,WLV,4.01,0.17,255862,2,06.03.2020
90,92,240,Shkodran Mustafi,DEF,ARS,8.2,MCI,3.35,0.08,255862,2,06.03.2020
91,93,2,Aaron Cresswell,DEF,WHU,4.2,ARS,3.67,0.12,255862,2,06.03.2020
92,94,280,Antonio Rudiger,DEF,CHE,7.9,EVE,4.64,0.32,255862,2,06.03.2020
93,95,108,Jan Bednarek,DEF,SOU,8.8,NEW,4.93,0.38,255862,2,06.03.2020
94,96,103,Issa Diop,DEF,WHU,4.5,ARS,3.63,0.12,255862,2,06.03.2020
99,101,151,Kyle Walker,DEF,MCI,9.6,MUN,4.37,0.34,255862,2,06.03.2020
100,102,295,Hector Bellerin,DEF,ARS,9.4,MCI,3.69,0.08,255862,2,06.03.2020
102,104,136,Jack Stephens,DEF,SOU,7.5,NEW,5.06,0.38,255862,2,06.03.2020
104,106,271,Romain Saiss,DEF,WLV,7.0,BHA,4.97,0.43,255862,2,06.03.2020
105,107,249,Tyrone Mings,DEF,AVL,4.4,LEI,3.74,0.1,255862,2,06.03.2020
107,109,112,Jonny Evans,DEF,LEI,9.9,AVL,4.94,0.41,255862,2,06.03.2020
108,110,53,Caglar Soyuncu,DEF,LEI,9.5,AVL,4.92,0.41,255862,2,06.03.2020
109,111,37,Benjamin Mendy,DEF,MCI,8.0,ARS,4.56,0.39,255862,2,06.03.2020
110,112,74,Danny Rose,DEF,NEW,4.8,SOU,4.18,0.15,255862,2,06.03.2020
